,CODIGO DA ENTIDADE,NUMERO DE PARTICIPANTES,CODESC,NOMEESC
380,35153801,25,35153801,MAHA DEI DE ESCOLA DESENVOLVIMENTO E EDUCACAO
381,35124175,25,35124175,GIORDANO BRUNO COLEGIO
382,35140934,25,35140934,DIADEMA COLEGIO INTEGRADO
383,35003918,25,35003918,ARISTIDES DE CASTRO
384,35151798,25,35151798,UNISUZ COLEGIO
385,35008576,25,35008576,ADAMASTOR DE CARVALHO PROFESSOR
386,35186697,25,35186697,RIBEIRAO PIRES DE ENSINO MEDIO CENTRO EDUCACIONAL
387,35165268,25,35165268,ESTRELA DA MANHA COLEGIO
388,35119222,25,35119222,NOVO HORIZONTE COLEGIO
389,35101539,25,35101539,SANTA CRUZ LICEU
390,35172856,25,35172856,APOLLO COLEGIO
391,35101813,25,35101813,SAO FRANCISCO DE ASSIS COLEGIO
392,35429168,26,35429168,JOAO FRIAZA COLEGIO
393,35154775,26,35154775,VILLARE COLEGIO
394,35368015,26,35368015,MELLO DANTE COLEGIO ENSINO MEDIO
395,35154283,26,35154283,SESI 426 CENTRO EDUCACIONAL
396,35104334,26,35104334,MATER DEI COLEGIO
397,35107924,26,35107924,ELIAS ZARZUR COLEGIO
398,35314785,26,35314785,DOM BOSCO UNIDADE II COLEGIO
399,35141159,26,35141159,POLIS COLEGIO PG E PRE ESCOLA
400,35168853,26,35168853,MONTE VIRGEM COLEGIO
401,35006695,26,35006695,GABRIEL PEREIRA
402,35165621,26,35165621,XV DE NOVEMBRO COLEGIO INTEGRADO
403,35445630,26,35445630,PAULISTA COLEGIO TECNICO
404,35137078,26,35137078,ANALISE COLEGIO UNIDADE I
405,35140132,26,35140132,PROGRESSO COLEGIO
406,35001661,27,35001661,MMDC
407,35141495,27,35141495,SAO JOSE COLEGIO
408,35153564,27,35153564,CHACARA A PIMENTINHA E COLEGIO MEIRELLES LEME EIFM
409,35805048,27,35805048,ATHENEU COLEGIO
410,35101722,27,35101722,NOSSA SENHORA MENINA EXTERNATO
411,35008126,27,35008126,PAULO VI PAPA
412,35108832,27,35108832,SESI 094 CENTRO EDUCACIONAL
413,35002434,27,35002434,JAMIL PEDRO SAWAYA PROF
414,35144034,27,35144034,GIBRAN KHALIL GIBRAN COLEGIO
415,35144459,27,35144459,CASAGRANDE COLEGIO
416,35139774,27,35139774,ISAAC NEWTON ESCOLA
417,35144241,27,35144241,NOVA ERA COLEGIO
418,35004236,27,35004236,PEDRO FONSECA PROFESSOR
419,35163326,27,35163326,INTEGRACAO COLEGIO
420,35102787,27,35102787,NOTRE DAME COLEGIO
421,35141483,28,35141483,MESQUITA COLEGIO
422,35142888,28,35142888,SIQUEIRA CEZAR COLEGIO
423,35902020,28,35902020,LUIS DOS SANTOS METALURGICO
424,35152785,28,35152785,SESI 427 CENTRO EDUCACIONAL
425,35904697,28,35904697,DELCIO DE SOUZA CUNHA PROFESSOR
426,35118242,28,35118242,STAGIUM INSTITUTO EDUCACIONAL
427,35480691,28,35480691,CENTRO EDUCACIONAL SESI 438
428,35108467,28,35108467,SESI 367 CENTRO EDUCACIONAL
429,35102660,28,35102660,SANTO IVO COLEGIO
430,35103494,28,35103494,JOAO E RAPHAELA PASSALACQUA COLEGIO
431,35102180,28,35102180,SOUZA LOPES COLEGIO
432,35100304,28,35100304,SANTA LUCIA FILIPPINI COLEGIO
